row_id,population_code,population,indicator_code,indicator,unit_code,unit,geo_code,geo,2021,2023
13033,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,AL,Albania,5.59,:
13034,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,AT,Austria,42.7,40.21
13035,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BA,Bosnia and Herzegovina,17.33,29.37
13036,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BE,Belgium,10.97,28.42
13037,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,BG,Bulgaria,19.2,24.22
13038,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CH,Switzerland,37.87,44.62
13039,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CY,Cyprus,43.72,50.57
13040,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,CZ,Czechia,14.22,37.70 b
13041,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,DE,Germany,20.45,38.17
13042,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,DK,Denmark,47.44,49.32
13043,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EA,Euro area,35.11,39.40 e
13044,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EE,Estonia,36.33,43.7
13045,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,EL,Greece,25.11,26.21
13046,F_Y25_64,Female age 25-64,I_CCONF1,"Changed the settings of software, app or device, last 3 months",PC_IND,% people,ES,Spain,41.86,42.84
